file_path	decision	rules		
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16MDB9.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16MDB9\NSS-2016-16MDB9\podsolimaannos.doctorsofkansascity.com\forums\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16MDL4.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16MDL4\NSS-2016-16MDL4\olfadspiratque.fivapeitaly.it\boards\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16MLFW.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16MLFW\NSS-2016-16MLFW\kunnanvaltuustolle.xplornetcallme.com\boards\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16TSXH.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16TSXH\NSS-2016-16TSXH\jonathanmurray-euzkadi.creditcompliance.net\forums\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16TY2F.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16TY2F\NSS-2016-16TY2F\kapokkies-aangesmeer.hayfeveruk.org\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16TY7W.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16TY7W\NSS-2016-16TY7W\kapokkies-aangesmeer.hayfeveruk.org\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16V2R9.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16V2R9\NSS-2016-16V2R9\kirjeenvaihtoaan.vixenbiker.com\forums\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16V7HD.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16V7HD\NSS-2016-16V7HD\ulaglig-graphome.trucksbank.us\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16V847.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16V847\NSS-2016-16V847\statistiekkursus.futurepayday.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VBJY.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VBJY\NSS-2016-16VBJY\mandateertbututs.teamrarebreed.com\forums\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VBM5.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VBM5\NSS-2016-16VBM5\mandateertbututs.teamrarebreed.com\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VF5M.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VF5M\NSS-2016-16VF5M\netmci.vermontfarrier.com\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VF6V.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VF6V\NSS-2016-16VF6V\netmci.vermontfarrier.com\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16VHBT.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16VHBT\NSS-2016-16VHBT\knnsmekanismin.fishofexcellence.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
